"x1";"x2";"x3";"x4";"x5";"y"
"1";-1.94;-0.13;-0.11;-0.93;-0.67;1
"2";-2.32;0.8;-0.72;0.59;-0.14;1
"3";-2.02;-0.71;-0.14;0.2;0.58;1
"4";-2.45;1.16;0.98;0.37;0.81;1
"5";-0.72;-1.08;-1.17;0.78;-1.29;0
"6";1.55;0.15;0.07;0.7;0.89;0
"7";-1.87;0.62;1.44;0.3;0.42;1
"8";-0.66;-0.22;0.95;-0.61;1.5;1
"9";0.1;-0.37;3.09;-0.49;1.08;1
"10";0.98;0.58;-0.37;-1.53;-2.14;0
"11";0.84;-0.65;-1.51;0.33;-0.38;0
"12";-1.43;-1.16;0.46;0.65;0.04;1
"13";-1.78;1.55;-0.37;1.23;-1.06;1
"14";-0.8;0.32;-0.02;-0.35;0.69;0
"15";-0.7;1.69;2.25;-1.42;1.53;0
"16";-1.23;1.08;1.28;-1.15;0.92;1
"17";-0.02;-1.63;0.92;0.57;-1.01;1
"18";1.99;-0.44;-0.98;1.29;0.13;0
"19";-0.24;-0.56;0.04;-0.95;2.1;0
"20";-2.32;0.67;1.91;1.64;-1.2;1
"21";0.77;-0.02;-1.43;-1.75;0.04;0
"22";-0.04;1.95;1.67;1.25;-0.26;0
"23";-1.26;-0.38;-2.11;-1.07;-2.13;1
"24";0.75;-0.16;0.44;-0.55;0.08;0
"25";0.63;-0.48;-1.17;-0.41;2.12;0
"26";0.05;-0.31;0.14;-1.13;0.58;0
"27";-0.64;-0.3;1.04;0.81;1.99;1
"28";-1.32;-1.02;NA;-0.05;0.14;0
"29";-1.3;0.34;NA;-1.18;-1.21;1
"30";-0.98;0.38;0.6;0.21;-0.56;0
"31";-0.96;0.15;1.34;1.03;1.24;1
"32";-1.13;1.24;2.61;-0.73;0.54;1
"33";-0.93;-0.87;0.18;-0.72;-2.7;0
"34";-1.38;0.66;0.71;1.37;-0.57;1
"35";-0.26;0.09;0.14;0.74;-0.66;0
"36";-1.46;1.19;1.86;-0.85;-0.85;1
"37";1.07;0;-0.83;-0.15;2.25;0
"38";-0.41;-2.04;1.57;-1.42;-0.31;1
"39";1.78;1.36;0.36;-0.47;-0.5;0
"40";2.18;1.43;-0.08;0.54;-1.02;0
"41";-0.87;-0.59;0.51;-1.49;0.37;0
"42";-3.16;1.23;-1.69;-0.11;0.05;1
"43";-1.07;-0.18;0.4;1.81;1.61;0
"44";0.91;-1.27;2.86;1.84;-0.39;1
"45";1.13;0.46;-0.07;-1.21;0.16;0
"46";0.2;-0.02;1.93;1.16;-0.81;1
"47";-1.61;0.4;1.52;1.67;-1.27;1
"48";-0.39;-1.81;-0.79;0.71;-0.21;0
"49";-1.11;-0.02;0.54;-0.55;-0.27;1
"50";-0.49;-0.58;-0.2;-0.17;0.63;0
"51";-2.06;1.6;0.07;-0.09;1.43;1
"52";-2.33;-0.32;0.17;2;0.33;1
"53";-0.88;-1.61;-1.67;1.07;-0.47;0
"54";0.35;0.04;3.58;-0.11;-1.71;1
"55";1.48;1.9;0.17;1.11;0.87;0
"56";-2.12;0.36;0.47;1.46;2.06;1
"57";-0.07;0.79;NA;0.68;0.01;1
"58";0.6;-0.34;-1.21;1.34;-0.07;0
"59";-1.68;-1.78;1.24;0.85;-0.96;1
"60";-1.31;-2.21;0.71;0.55;1.35;1
"61";-3.37;2.58;-0.46;-1.25;-0.7;1
"62";2.15;0.59;-0.75;0.6;-0.67;0
"63";-0.57;0.28;1.35;-0.24;1.02;0
"64";0.93;-2.38;0.95;0.08;1.64;1
"65";-0.14;-2.85;1.21;-0.02;-0.21;1
"66";0.86;0.41;-0.65;0.98;0.73;0
"67";-0.73;0.41;1.3;1.01;-1.42;0
"68";1.11;-0.52;-1.59;0.18;-0.74;0
"69";-1.32;-0.6;-0.11;0.06;0.14;0
"70";-0.98;0.05;1.29;1.27;0.17;1
"71";-1.93;-0.37;0.64;-0.56;-0.6;1
"72";-1.51;1.59;1.78;1.76;0.96;1
"73";-0.55;-0.25;0.22;-0.06;0.92;0
"74";-0.88;-0.85;2.37;-0.45;-1.31;1
"75";0.71;0.64;3.25;0.31;-0.37;1
"76";-2.18;0.12;0.41;-0.32;0.51;1
"77";-0.47;0.17;1.66;-0.65;-0.24;1
